Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402,154.6,-70.55,225,bottom
C2,1u,C_0402,153.05,-59.65,180,bottom
C3,1u,C_0402,153.15,-64.05,0,bottom
C4,1u,C_0402,153.85,-69.8,225,bottom
C5,100n,C_0402,155.85,-62.9,180,bottom
C6,100n,C_0402,155.35,-71.3,225,bottom
D1,1N4148WS,D_SOD-323,62,-71,135,bottom
D2,1N4148WS,D_SOD-323,62,-88,135,bottom
D3,1N4148WS,D_SOD-323,62,-101,135,bottom
D4,1N4148WS,D_SOD-323,62,-118,135,bottom
D5,1N4148WS,D_SOD-323,62,-123,225,bottom
D6,1N4148WS,D_SOD-323,80,-71,135,bottom
D7,1N4148WS,D_SOD-323,80,-88,135,bottom
D8,1N4148WS,D_SOD-323,80,-101,135,bottom
D9,1N4148WS,D_SOD-323,80,-118,135,bottom
D10,1N4148WS,D_SOD-323,80,-123,225,bottom
D11,1N4148WS,D_SOD-323,98,-71,135,bottom
D12,1N4148WS,D_SOD-323,98,-88,135,bottom
D13,1N4148WS,D_SOD-323,98,-101,135,bottom
D14,1N4148WS,D_SOD-323,98,-118,135,bottom
D15,1N4148WS,D_SOD-323,98,-123,225,bottom
D16,1N4148WS,D_SOD-323,116,-71,135,bottom
D17,1N4148WS,D_SOD-323,116,-88,135,bottom
D18,1N4148WS,D_SOD-323,116,-101,135,bottom
D19,1N4148WS,D_SOD-323,116,-118,135,bottom
D20,1N4148WS,D_SOD-323,116,-123,225,bottom
D21,1N4148WS,D_SOD-323,134,-71,135,bottom
D22,1N4148WS,D_SOD-323,134,-88,135,bottom
D23,1N4148WS,D_SOD-323,134,-101,135,bottom
D24,1N4148WS,D_SOD-323,134,-118,135,bottom
D25,1N4148WS,D_SOD-323,134,-123,225,bottom
D26,1N4148WS,D_SOD-323,152,-71,135,bottom
D27,1N4148WS,D_SOD-323,152,-88,135,bottom
D28,1N4148WS,D_SOD-323,152,-101,135,bottom
D29,1N4148WS,D_SOD-323,152,-118,135,bottom
D30,1N4148WS,D_SOD-323,152,-123,225,bottom
D31,1N4148WS,D_SOD-323,170,-71,135,bottom
D32,1N4148WS,D_SOD-323,170,-88,135,bottom
D33,1N4148WS,D_SOD-323,170,-101,135,bottom
D34,1N4148WS,D_SOD-323,170,-118,135,bottom
D35,1N4148WS,D_SOD-323,170,-123,225,bottom
D36,1N4148WS,D_SOD-323,188,-71,135,bottom
D37,1N4148WS,D_SOD-323,188,-88,135,bottom
D38,1N4148WS,D_SOD-323,188,-101,135,bottom
D39,1N4148WS,D_SOD-323,188,-118,135,bottom
D40,1N4148WS,D_SOD-323,188,-123,225,bottom
D41,1N4148WS,D_SOD-323,206,-71,135,bottom
D42,1N4148WS,D_SOD-323,206,-88,135,bottom
D43,1N4148WS,D_SOD-323,206,-101,135,bottom
D44,1N4148WS,D_SOD-323,206,-118,135,bottom
D45,1N4148WS,D_SOD-323,206,-123,225,bottom
D46,1N4148WS,D_SOD-323,224,-71,135,bottom
D47,1N4148WS,D_SOD-323,224,-88,135,bottom
D48,1N4148WS,D_SOD-323,224,-101,135,bottom
D49,1N4148WS,D_SOD-323,224,-118,135,bottom
D50,1N4148WS,D_SOD-323,224,-123,225,bottom
D51,1N4148WS,D_SOD-323,242,-71,135,bottom
D52,1N4148WS,D_SOD-323,242,-88,135,bottom
D53,1N4148WS,D_SOD-323,242,-101,135,bottom
D54,1N4148WS,D_SOD-323,242,-118,135,bottom
D55,1N4148WS,D_SOD-323,242,-123,225,bottom
D56,1N4148WS,D_SOD-323,254,-71,45,bottom
D57,1N4148WS,D_SOD-323,254,-88,45,bottom
D58,1N4148WS,D_SOD-323,254,-101,45,bottom
D59,1N4148WS,D_SOD-323,254,-118,45,bottom
D60,1N4148WS,D_SOD-323,253,-123,315,bottom
D61,SP0502BAHT,SOT-23,157.1,-60.7,270,bottom
R1,5k1,R_0402,154.9,-60.1,90,bottom
R2,5k1,R_0402,159.3,-60.1,270,bottom
U1,STM32F042K6Ux,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,157,-67,45,bottom
U2,XC6206PxxxMR,SOT-23,153.25,-61.85,270,bottom
