Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402",154.600000,-70.550000,225.000000,bottom
"C2","1u","C_0402",153.050000,-59.650000,180.000000,bottom
"C3","1u","C_0402",153.150000,-64.050000,0.000000,bottom
"C4","1u","C_0402",153.850000,-69.800000,225.000000,bottom
"C5","100n","C_0402",155.850000,-62.900000,180.000000,bottom
"C6","100n","C_0402",155.350000,-71.300000,225.000000,bottom
"D1","1N4148WS","D_SOD-323",62.000000,-71.000000,135.000000,bottom
"D2","1N4148WS","D_SOD-323",62.000000,-88.000000,135.000000,bottom
"D3","1N4148WS","D_SOD-323",62.000000,-101.000000,135.000000,bottom
"D4","1N4148WS","D_SOD-323",62.000000,-118.000000,135.000000,bottom
"D5","1N4148WS","D_SOD-323",62.000000,-123.000000,225.000000,bottom
"D6","1N4148WS","D_SOD-323",80.000000,-71.000000,135.000000,bottom
"D7","1N4148WS","D_SOD-323",80.000000,-88.000000,135.000000,bottom
"D8","1N4148WS","D_SOD-323",80.000000,-101.000000,135.000000,bottom
"D9","1N4148WS","D_SOD-323",80.000000,-118.000000,135.000000,bottom
"D10","1N4148WS","D_SOD-323",80.000000,-123.000000,225.000000,bottom
"D11","1N4148WS","D_SOD-323",98.000000,-71.000000,135.000000,bottom
"D12","1N4148WS","D_SOD-323",98.000000,-88.000000,135.000000,bottom
"D13","1N4148WS","D_SOD-323",98.000000,-101.000000,135.000000,bottom
"D14","1N4148WS","D_SOD-323",98.000000,-118.000000,135.000000,bottom
"D15","1N4148WS","D_SOD-323",98.000000,-123.000000,225.000000,bottom
"D16","1N4148WS","D_SOD-323",116.000000,-71.000000,135.000000,bottom
"D17","1N4148WS","D_SOD-323",116.000000,-88.000000,135.000000,bottom
"D18","1N4148WS","D_SOD-323",116.000000,-101.000000,135.000000,bottom
"D19","1N4148WS","D_SOD-323",116.000000,-118.000000,135.000000,bottom
"D20","1N4148WS","D_SOD-323",116.000000,-123.000000,225.000000,bottom
"D21","1N4148WS","D_SOD-323",134.000000,-71.000000,135.000000,bottom
"D22","1N4148WS","D_SOD-323",134.000000,-88.000000,135.000000,bottom
"D23","1N4148WS","D_SOD-323",134.000000,-101.000000,135.000000,bottom
"D24","1N4148WS","D_SOD-323",134.000000,-118.000000,135.000000,bottom
"D25","1N4148WS","D_SOD-323",134.000000,-123.000000,225.000000,bottom
"D26","1N4148WS","D_SOD-323",152.000000,-71.000000,135.000000,bottom
"D27","1N4148WS","D_SOD-323",152.000000,-88.000000,135.000000,bottom
"D28","1N4148WS","D_SOD-323",152.000000,-101.000000,135.000000,bottom
"D29","1N4148WS","D_SOD-323",152.000000,-118.000000,135.000000,bottom
"D30","1N4148WS","D_SOD-323",152.000000,-123.000000,225.000000,bottom
"D31","1N4148WS","D_SOD-323",170.000000,-71.000000,135.000000,bottom
"D32","1N4148WS","D_SOD-323",170.000000,-88.000000,135.000000,bottom
"D33","1N4148WS","D_SOD-323",170.000000,-101.000000,135.000000,bottom
"D34","1N4148WS","D_SOD-323",170.000000,-118.000000,135.000000,bottom
"D35","1N4148WS","D_SOD-323",170.000000,-123.000000,225.000000,bottom
"D36","1N4148WS","D_SOD-323",188.000000,-71.000000,135.000000,bottom
"D37","1N4148WS","D_SOD-323",188.000000,-88.000000,135.000000,bottom
"D38","1N4148WS","D_SOD-323",188.000000,-101.000000,135.000000,bottom
"D39","1N4148WS","D_SOD-323",188.000000,-118.000000,135.000000,bottom
"D40","1N4148WS","D_SOD-323",188.000000,-123.000000,225.000000,bottom
"D41","1N4148WS","D_SOD-323",206.000000,-71.000000,135.000000,bottom
"D42","1N4148WS","D_SOD-323",206.000000,-88.000000,135.000000,bottom
"D43","1N4148WS","D_SOD-323",206.000000,-101.000000,135.000000,bottom
"D44","1N4148WS","D_SOD-323",206.000000,-118.000000,135.000000,bottom
"D45","1N4148WS","D_SOD-323",206.000000,-123.000000,225.000000,bottom
"D46","1N4148WS","D_SOD-323",224.000000,-71.000000,135.000000,bottom
"D47","1N4148WS","D_SOD-323",224.000000,-88.000000,135.000000,bottom
"D48","1N4148WS","D_SOD-323",224.000000,-101.000000,135.000000,bottom
"D49","1N4148WS","D_SOD-323",224.000000,-118.000000,135.000000,bottom
"D50","1N4148WS","D_SOD-323",224.000000,-123.000000,225.000000,bottom
"D51","1N4148WS","D_SOD-323",242.000000,-71.000000,135.000000,bottom
"D52","1N4148WS","D_SOD-323",242.000000,-88.000000,135.000000,bottom
"D53","1N4148WS","D_SOD-323",242.000000,-101.000000,135.000000,bottom
"D54","1N4148WS","D_SOD-323",242.000000,-118.000000,135.000000,bottom
"D55","1N4148WS","D_SOD-323",242.000000,-123.000000,225.000000,bottom
"D56","1N4148WS","D_SOD-323",254.000000,-71.000000,45.000000,bottom
"D57","1N4148WS","D_SOD-323",254.000000,-88.000000,45.000000,bottom
"D58","1N4148WS","D_SOD-323",254.000000,-101.000000,45.000000,bottom
"D59","1N4148WS","D_SOD-323",254.000000,-118.000000,45.000000,bottom
"D60","1N4148WS","D_SOD-323",253.000000,-123.000000,315.000000,bottom
"D61","SP0502BAHT","SOT-23",157.100000,-60.700000,90.000000,bottom
"R1","5k1","R_0402",154.900000,-60.100000,90.000000,bottom
"R2","5k1","R_0402",159.300000,-60.100000,270.000000,bottom
"U1","STM32F042K6Ux","QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm",157.000000,-67.000000,45.000000,bottom
"U2","XC6206PxxxMR","SOT-23",153.250000,-61.850000,90.000000,bottom
